[rosmaster.master][INFO] 2026-09-20 00:35:51,086: publisherUpdate[/rosout] -> http://127.0.0.1:41297/ ['http://192.168.50.12:41637/', 'http://127.0.0.1:44485/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-09-20 00:35:51,129: +PUB [/rosout] /flight_safety_response http://127.0.0.1:41623/
[rosmaster.master][INFO] 2026-09-20 00:35:51,133: +SERVICE [/flight_safety_response/get_loggers] /flight_safety_response http://127.0.0.1:41623/
[rosmaster.master][INFO] 2026-09-20 00:35:51,134: +SERVICE [/flight_safety_response/set_logger_level] /flight_safety_response http://127.0.0.1:41623/
[rosmaster.master][INFO] 2026-09-20 00:35:51,138: +PUB [/mavros/setpoint_raw/local] /flight_safety_response http://127.0.0.1:41623/
[rosmaster.master][INFO] 2026-09-20 00:35:51,139: +PUB [/flight_safety/state] /flight_safety_response http://127.0.0.1:41623/
[rosmaster.master][INFO] 2026-09-20 00:35:51,140: +SUB [/flight_safety/fault] /flight_safety_response http://127.0.0.1:41623/
[rosmaster.master][INFO] 2026-09-20 00:35:51,141: +SUB [/mavros/state] /flight_safety_response http://127.0.0.1:41623/
[rosmaster.master][INFO] 2026-09-20 00:35:51,142: +SUB [/mavros/rc/in] /flight_safety_response http://127.0.0.1:41623/
[rosmaster.master][INFO] 2026-09-20 00:35:51,144: +SUB [/local_controller/setpoint_raw/local] /flight_safety_response http://127.0.0.1:41623/
[rosmaster.master][INFO] 2026-09-20 00:35:51,148: +SUB [/mavros/imu/data] /flight_safety_response http://127.0.0.1:41623/
[rosmaster.master][INFO] 2026-09-20 00:35:51,150: +SERVICE [/flight_safety_response/request_termination] /flight_safety_response http://127.0.0.1:41623/
[rosmaster.master][INFO] 2026-09-20 00:35:51,152: +CACHEDPARAM [/rosout_disable_topics_generation] by /flight_safety_response
[rosmaster.master][INFO] 2026-09-20 00:35:51,185: publisherUpdate[/rosout] -> http://127.0.0.1:41297/ ['http://192.168.50.12:41637/', 'http://127.0.0.1:44485/', 'http://127.0.0.1:41623/']
[rosmaster.master][INFO] 2026-09-20 00:35:51,186: publisherUpdate[/rosout] -> http://127.0.0.1:41297/ ['http://192.168.50.12:41637/', 'http://127.0.0.1:44485/', 'http://127.0.0.1:41623/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-09-20 00:35:51,186: publisherUpdate[/mavros/setpoint_raw/local] -> http://192.168.50.12:41637/ ['http://127.0.0.1:41623/']
[rosmaster.master][INFO] 2026-09-20 00:35:51,188: publisherUpdate[/mavros/setpoint_raw/local] -> http://192.168.50.12:41637/ ['http://127.0.0.1:41623/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-09-20 00:35:51,257: +PARAM [/roslaunch/uris/host_127_0_0_1__34745] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,261: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,261: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,261: +PARAM [/landing_trial_controller/parameter_status] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,261: +PARAM [/landing_trial_controller/update_rate_hz] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,261: +PARAM [/landing_trial_controller/airsim_command_rate_hz] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,261: +PARAM [/landing_trial_controller/landing_altitude_min_m] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,261: +PARAM [/landing_trial_controller/touchdown_height_reference] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,261: +PARAM [/landing_trial_controller/horizontal_reference] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,261: +PARAM [/landing_trial_controller/landing_altitude_max_m] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,261: +PARAM [/landing_trial_controller/lateral_uncertainty_bound_m] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,261: +PARAM [/landing_trial_controller/minimum_lateral_speed_mps] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,261: +PARAM [/landing_trial_controller/descent_speed_mps] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,261: +PARAM [/landing_trial_controller/horizontal_speed_limit_mps] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,261: +PARAM [/landing_trial_controller/kp_xy] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,261: +PARAM [/landing_trial_controller/kd_xy] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,261: +PARAM [/landing_trial_controller/derivative_filter_tau_s] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,261: +PARAM [/landing_trial_controller/derivative_speed_limit_mps] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,261: +PARAM [/landing_trial_controller/latency_compensation_enabled] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,262: +PARAM [/landing_trial_controller/max_pose_prediction_s] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,262: +PARAM [/landing_trial_controller/touchdown_stop_lead_s] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,262: +PARAM [/landing_trial_controller/marker_loss_timeout_s] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,262: +PARAM [/landing_trial_controller/yaw_reference_rad] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,262: +PARAM [/landing_trial_controller/yaw_control_enabled] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,262: +PARAM [/landing_trial_controller/yaw_kp] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,262: +PARAM [/landing_trial_controller/yaw_rate_limit_rad_s] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,262: +PARAM [/landing_trial_controller/yaw_deadband_deg] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,262: +PARAM [/landing_trial_controller/trials_per_pad] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,262: +PARAM [/landing_trial_controller/enabled] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,262: +PARAM [/landing_trial_controller/vehicle_pose_topic] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,262: +PARAM [/landing_trial_controller/camera_pose_topic] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,262: +PARAM [/landing_trial_controller/target_visible_topic] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,262: +PARAM [/landing_trial_controller/command_topic] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,262: +PARAM [/landing_trial/initial_target_global_xy] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,262: +PARAM [/landing_trial/auto_start_on_offboard] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,262: +PARAM [/landing_trial/landing_finish_mode] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,262: +PARAM [/landing_trial/dry_run] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,262: +PARAM [/landing_trial/extrinsic_file] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,262: +PARAM [/landing_trial/marker_confirm_s] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,263: +PARAM [/landing_trial/marker_loss_s] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,263: +PARAM [/landing_trial/approach_speed_mps] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:51,296: +CACHEDPARAM [/rosout_disable_topics_generation] by /vision_pose_mux
[rosmaster.master][INFO] 2026-09-20 00:35:51,297: +PUB [/mavros/vision_pose/pose] /vision_pose_mux http://127.0.0.1:44485/
[rosmaster.master][INFO] 2026-09-20 00:35:51,298: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2026-09-20 00:35:51,637: +PUB [/rosout] /landing_trial_controller http://127.0.0.1:34857/
